,Date,Home Team,Away Team,Home 1H Points,Away 1H Points,Home Full Points,Away Full Points
0,"Wednesday, November 18, 2015", Vermont, Quinnipiac,45,36,83,70
0,"Wednesday, November 18, 2015", Akron, Arkansas,29,37,88,80
0,"Wednesday, November 18, 2015", Northwestern, Fairfield,39,29,79,72
0,"Wednesday, November 18, 2015", Saint Louis, SIU Edwardsville,25,32,70,60
0,"Wednesday, November 18, 2015", Southern Illinois, Kent St.,34,29,72,69
0,"Wednesday, November 18, 2015", IPFW, Austin Peay,39,43,80,77
0,"Wednesday, November 18, 2015", Houston, Prairie View A&M,52,33,110,69
0,"Wednesday, November 18, 2015", Arizona St., Kennesaw St.,35,24,91,53
0,"Wednesday, November 18, 2015", New Mexico, Loyola Chicago,38,19,75,51
0,"Wednesday, November 18, 2015", Denver, Utah Valley,45,33,75,62
0,"Wednesday, November 18, 2015", Gonzaga, Northern Arizona,42,27,91,52
0,"Wednesday, November 18, 2015", New Mexico St., Tennessee Tech,33,36,76,63
0,"Wednesday, November 18, 2015", UNLV, Southern Utah,45,31,84,64
0,"Wednesday, November 18, 2015", Toledo, Youngstown St.,38,51,100,78
0,"Thursday, November 19, 2015", Oklahoma St., Towson,21,32,69,52
0,"Thursday, November 19, 2015", Miami FL, Mississippi St.,35,59,105,79
0,"Thursday, November 19, 2015", Boston College, Central Connecticut,45,33,82,57
0,"Thursday, November 19, 2015", Charlotte, Furman,29,34,77,68
0,"Thursday, November 19, 2015", Clemson, Texas Southern,31,33,76,56
0,"Thursday, November 19, 2015", Indiana, Creighton,51,32,86,65
0,"Thursday, November 19, 2015", Mercer, Alabama St.,37,16,70,49
0,"Thursday, November 19, 2015", Hartford, Saint Peter's,40,31,67,66
0,"Thursday, November 19, 2015", Long Beach St., Seton Hall,39,46,80,77
0,"Thursday, November 19, 2015", George Washington, South Florida,30,33,73,67
0,"Thursday, November 19, 2015", St. John's, Rutgers,26,33,61,59
0,"Thursday, November 19, 2015", Tennessee, Marshall,35,38,84,74
0,"Thursday, November 19, 2015", Utah, Texas Tech,33,36,73,63
0,"Thursday, November 19, 2015", Massachusetts, Central Arkansas,41,30,89,62
0,"Thursday, November 19, 2015", Albany, Colgate,43,30,88,67
0,"Thursday, November 19, 2015", Yale, Lehigh,28,36,79,67
0,"Thursday, November 19, 2015", LIU Brooklyn, Maine,39,41,84,79
0,"Wednesday, November 18, 2015", Loyola MD, UMBC,31,43,76,57
0,"Thursday, November 19, 2015", Louisiana Monroe, Northwestern St.,32,46,80,64
0,"Thursday, November 19, 2015", NJIT, Boston University,38,31,90,76
0,"Thursday, November 19, 2015", Navy, USC Upstate,19,34,67,55
0,"Thursday, November 19, 2015", TCU, Houston Baptist,44,19,90,63
0,"Thursday, November 19, 2015", Texas A&M, Texas A&M Corpus Chris,47,34,95,70
0,"Thursday, November 19, 2015", Vanderbilt, Stony Brook,30,34,79,72
0,"Thursday, November 19, 2015", Memphis, Grambling St.,40,36,83,65
0,"Thursday, November 19, 2015", Nebraska, Delaware St.,46,32,75,60
0,"Thursday, November 19, 2015", South Dakota St., Illinois St.,32,51,83,67
0,"Thursday, November 19, 2015", Alabama A&M, Southeast Missouri St.,28,26,74,56
0,"Thursday, November 19, 2015", Oregon St., Rice,33,44,77,69
0,"Thursday, November 19, 2015", Southern, Tulane,39,35,90,82
0,"Thursday, November 19, 2015", Arizona, Boise St.,44,42,88,76
0,"Thursday, November 19, 2015", Grand Canyon, Alcorn St.,34,24,79,46
0,"Thursday, November 19, 2015", LSU, South Alabama,40,28,78,66
0,"Thursday, November 19, 2015", Iowa, Marquette,21,48,89,61
0,"Thursday, November 19, 2015", UAB, Troy,24,32,79,63
0,"Thursday, November 19, 2015", Air Force, Mississippi Valley St.,29,43,65,64
0,"Thursday, November 19, 2015", Colorado St., Loyola Marymount,34,37,83,75
0,"Thursday, November 19, 2015", Virginia, Bradley,25,37,82,57
0,"Thursday, November 19, 2015", Fresno St., San Francisco,37,27,78,71
0,"Thursday, November 19, 2015", UC Riverside, Santa Clara,33,28,77,63
0,"Thursday, November 19, 2015", UCLA, Pepperdine,48,34,81,67
0,"Thursday, November 19, 2015", Washington, Mount St. Mary's,51,28,100,67
0,"Thursday, November 19, 2015", SMU, Stanford,31,39,85,70
0,"Thursday, November 19, 2015", George Mason, Mississippi,33,32,68,62
0,"Thursday, November 19, 2015", Butler, Missouri St.,25,49,93,59
0,"Thursday, November 19, 2015", New Hampshire, Holy Cross,30,34,73,69
0,"Thursday, November 19, 2015", Temple, Minnesota,26,31,75,70
0,"Friday, November 20, 2015", Georgetown, Wisconsin,27,22,71,61
0,"Friday, November 20, 2015", Northeastern, Florida Atlantic,23,26,60,58
0,"Friday, November 20, 2015", Siena, Radford,24,31,76,62
0,"Friday, November 20, 2015", Eastern Kentucky, Ball St.,43,42,89,81
0,"Friday, November 20, 2015", South Carolina, DePaul,37,28,76,61
0,"Friday, November 20, 2015", Hampton, Appalachian St.,42,36,82,61
0,"Friday, November 20, 2015", Duquesne, Penn St.,37,26,78,52
0,"Friday, November 20, 2015", Georgia, Murray St.,29,27,63,52
0,"Friday, November 20, 2015", Maryland, Rider,29,31,65,58
0,"Friday, November 20, 2015", Michigan St., Arkansas Pine Bluff,46,19,92,46
0,"Friday, November 20, 2015", Duke, VCU,39,38,79,71
0,"Friday, November 20, 2015", Villanova, East Tennessee St.,49,27,86,51
0,"Friday, November 20, 2015", West Virginia, Stetson,51,35,103,62
0,"Friday, November 20, 2015", Winthrop, Jacksonville St.,41,31,80,69
0,"Friday, November 20, 2015", UT Arlington, Ohio St.,34,32,73,68
0,"Friday, November 20, 2015", Miami OH, Lipscomb,36,38,70,68
