,Date,Home Team,Away Team,Home 1H Points,Away 1H Points,Home Full Points,Away Full Points
0,"Friday, November 10, 2023", Stanford, Sacramento St.,47,39,91,73
0,"Friday, November 10, 2023", IUPUI, Valparaiso,25,21,66,56
0,"Friday, November 10, 2023", Clemson, UAB,42,39,77,76
0,"Friday, November 10, 2023", Cal Baptist, Jackson St.,34,39,80,66
0,"Friday, November 10, 2023", Utah, UC Riverside,48,13,82,53
0,"Friday, November 10, 2023", Washington St., Prairie View A&M,43,30,83,65
0,"Friday, November 10, 2023", Pacific, California,38,40,87,79
0,"Friday, November 10, 2023", UCLA, Lafayette,30,33,68,50
0,"Friday, November 10, 2023", Akron, Southern Miss,33,31,72,54
0,"Friday, November 10, 2023", Alabama, Indiana St.,48,37,102,80
0,"Friday, November 10, 2023", BYU, San Diego St.,33,28,74,65
0,"Friday, November 10, 2023", Furman, Belmont,46,31,99,76
0,"Friday, November 10, 2023", Kentucky, Texas A&M Commerce,38,30,81,61
0,"Friday, November 10, 2023", Mississippi, Eastern Washington,34,32,75,64
0,"Friday, November 10, 2023", Texas A&M, Ohio St.,33,34,73,66
0,"Friday, November 10, 2023", Oklahoma, Mississippi Valley St.,50,23,82,43
0,"Friday, November 10, 2023", Penn St., Lehigh,38,38,74,65
0,"Friday, November 10, 2023", Purdue, Morehead St.,42,29,87,57
0,"Friday, November 10, 2023", Harvard, Rice,33,43,89,76
0,"Friday, November 10, 2023", Rutgers, Boston University,30,22,69,45
0,"Friday, November 10, 2023", Saint Joseph's, Penn,33,20,69,61
0,"Friday, November 10, 2023", Southern Illinois, Queens,44,27,91,68
0,"Friday, November 10, 2023", Texas, Delaware St.,39,30,86,59
0,"Friday, November 10, 2023", Tennessee, Wisconsin,35,43,80,70
0,"Saturday, November 11, 2023", Texas St., Miami OH,31,40,75,65
0,"Saturday, November 11, 2023", Loyola MD, Brown,29,31,77,75
0,"Saturday, November 11, 2023", Connecticut, Stonehill,52,30,107,67
0,"Saturday, November 11, 2023", Wofford, High Point,46,51,99,98
0,"Saturday, November 11, 2023", Cornell, Fordham,24,45,78,73
0,"Saturday, November 11, 2023", George Washington, William & Mary,43,42,95,89
0,"Saturday, November 11, 2023", South Alabama, Buffalo,29,33,70,56
