,Date,Home Team,Away Team,Home 1H Points,Away 1H Points,Home Full Points,Away Full Points
0,"Sunday, March 1, 2020", St. John's, Creighton,44,37,91,71
0,"Sunday, March 1, 2020", Rider, Fairfield,23,27,65,51
0,"Sunday, March 1, 2020", Xavier, Georgetown,22,28,66,63
0,"Sunday, March 1, 2020", Illinois, Indiana,36,36,67,66
0,"Sunday, March 1, 2020", Quinnipiac, Marist,32,21,71,52
0,"Sunday, March 1, 2020", Saint Louis, Rhode Island,19,26,72,62
0,"Sunday, March 1, 2020", Towson, Northeastern,27,34,75,72
0,"Sunday, March 1, 2020", Ohio St., Michigan,32,29,77,63
0,"Sunday, March 1, 2020", Wichita St., SMU,37,24,66,62
0,"Sunday, March 1, 2020", Wisconsin, Minnesota,31,28,71,69
0,"Monday, March 2, 2020", Duke, N.C. State,38,36,88,69
0,"Monday, March 2, 2020", Norfolk St., Delaware St.,35,41,79,73
0,"Monday, March 2, 2020", Howard, Maryland Eastern Shore,35,31,62,60
0,"Monday, March 2, 2020", North Carolina Central, Bethune Cookman,29,31,71,68
0,"Monday, March 2, 2020", North Carolina A&T, South Carolina St.,35,37,76,65
0,"Monday, March 2, 2020", Jackson St., Arkansas Pine Bluff,39,20,76,56
0,"Monday, March 2, 2020", Texas Southern, Alabama St.,28,34,78,73
0,"Monday, March 2, 2020", Baylor, Texas Tech,30,30,71,68
0,"Monday, March 2, 2020", Prairie View A&M, Alabama A&M,34,32,73,62
0,"Monday, March 2, 2020", Grambling St., Mississippi Valley St.,43,22,81,61
0,"Monday, March 2, 2020", Idaho St., Weber St.,37,46,78,70
0,"Tuesday, March 3, 2020", South Carolina, Mississippi St.,40,38,83,71
0,"Tuesday, March 3, 2020", Ball St., Central Michigan,41,25,85,68
0,"Tuesday, March 3, 2020", Syracuse, Boston College,27,35,84,71
0,"Tuesday, March 3, 2020", Buffalo, Miami OH,37,31,75,69
0,"Tuesday, March 3, 2020", Arkansas St., Georgia Southern,32,31,76,75
0,"Tuesday, March 3, 2020", Georgia St., Little Rock,47,38,89,70
0,"Tuesday, March 3, 2020", UMass Lowell, New Hampshire,24,29,63,54
0,"Tuesday, March 3, 2020", North Carolina, Wake Forest,35,34,93,83
0,"Tuesday, March 3, 2020", Michigan St., Penn St.,46,31,79,71
0,"Tuesday, March 3, 2020", Rutgers, Maryland,35,29,78,67
0,"Tuesday, March 3, 2020", Cincinnati, South Florida,39,33,79,67
0,"Tuesday, March 3, 2020", Duquesne, VCU,30,26,80,77
0,"Tuesday, March 3, 2020", Western Michigan, Eastern Michigan,31,27,70,54
0,"Tuesday, March 3, 2020", DePaul, Marquette,32,32,69,68
0,"Tuesday, March 3, 2020", Louisiana, Coastal Carolina,39,49,108,101
0,"Tuesday, March 3, 2020", Appalachian St., Louisiana Monroe,22,27,61,57
0,"Tuesday, March 3, 2020", Northern Illinois, Toledo,33,17,71,50
0,"Tuesday, March 3, 2020", South Alabama, Texas St.,32,25,58,54
0,"Tuesday, March 3, 2020", Stephen F. Austin, Abilene Christian,39,35,77,72
0,"Tuesday, March 3, 2020", Purdue, Iowa,25,42,77,68
0,"Tuesday, March 3, 2020", West Virginia, Iowa St.,31,44,77,71
0,"Wednesday, March 4, 2020", Providence, Xavier,47,38,80,74
0,"Wednesday, March 4, 2020", Arkansas, LSU,55,34,99,90
0,"Wednesday, March 4, 2020", Texas A&M, Auburn,26,33,78,75
0,"Wednesday, March 4, 2020", Butler, St. John's,31,32,77,55
0,"Wednesday, March 4, 2020", Saint Louis, George Mason,29,28,69,57
0,"Wednesday, March 4, 2020", Fordham, George Washington,25,23,63,52
0,"Wednesday, March 4, 2020", Florida, Georgia,30,28,68,54
0,"Wednesday, March 4, 2020", Indiana, Minnesota,32,34,72,67
0,"Wednesday, March 4, 2020", Quinnipiac, Iona,29,36,69,68
0,"Wednesday, March 4, 2020", Canisius, Marist,32,43,85,69
0,"Wednesday, March 4, 2020", Monmouth, Fairfield,39,31,69,45
0,"Wednesday, March 4, 2020", Rider, Manhattan,29,28,71,59
0,"Wednesday, March 4, 2020", Siena, Niagara,33,30,77,55
0,"Wednesday, March 4, 2020", St. Bonaventure, Saint Joseph's,42,27,89,73
0,"Wednesday, March 4, 2020", Tulsa, Temple,24,31,61,51
0,"Wednesday, March 4, 2020", UCF, SMU,33,14,61,58
0,"Wednesday, March 4, 2020", Virginia Tech, Clemson,30,25,70,58
