,Rk,Team,Conf,AdjEM,AdjO,AdjO_Rk,AdjD,AdjD_Rk,AdjT,AdjT_Rk,date
154,152,East Tennessee St.,SC,+0.49,103.3,170,102.8,142,70.9,207,2024-11-06 00:00:00
155,153,Stephen F. Austin,Slnd,+0.39,101.9,202,101.5,113,72.7,73,2024-11-06 00:00:00
156,154,Appalachian St.,SB,+0.22,102.1,199,101.9,122,70.6,238,2024-11-06 00:00:00
157,155,South Dakota St.,Sum,+0.18,104.3,150,104.1,169,72.1,122,2024-11-06 00:00:00
158,156,New Mexico St.,CUSA,+0.10,101.7,209,101.7,119,70.4,251,2024-11-06 00:00:00
159,157,George Washington,A10,+0.03,106.1,127,106.0,223,71.5,162,2024-11-06 00:00:00
160,158,Marshall,SB,-0.04,103.5,169,103.6,158,72.3,101,2024-11-06 00:00:00
161,159,UC Davis,BW,-0.06,100.3,248,100.3,99,73.3,47,2024-11-06 00:00:00
162,160,UNC Wilmington,CAA,-0.09,104.0,153,104.1,168,69.8,297,2024-11-06 00:00:00
163,Rk,Team,Conf,AdjEM,AdjO,AdjD,AdjT,Rk,AdjEM,AdjO,2024-11-06 00:00:00
164,161,Southern Illinois,MVC,-0.13,103.0,175,103.2,150,74.1,28,2024-11-06 00:00:00
165,162,UT Arlington,WAC,-0.30,104.1,151,104.4,175,73.6,38,2024-11-06 00:00:00
166,163,Miami OH,MAC,-0.35,102.8,180,103.1,149,71.4,170,2024-11-06 00:00:00
167,164,Abilene Christian,WAC,-0.37,102.6,182,103.0,147,72.4,97,2024-11-06 00:00:00
168,165,UC Riverside,BW,-0.38,105.0,137,105.4,202,70.8,218,2024-11-06 00:00:00
169,166,Cornell,Ivy,-0.42,106.7,116,107.2,253,72.7,76,2024-11-06 00:00:00
170,167,Winthrop,BSth,-0.49,104.7,144,105.2,193,71.3,179,2024-11-06 00:00:00
171,168,Louisiana,SB,-0.53,102.4,188,102.9,143,71.5,161,2024-11-06 00:00:00
172,169,Northern Kentucky,Horz,-0.53,99.9,254,100.4,102,71.2,190,2024-11-06 00:00:00
173,170,Furman,SC,-0.55,103.9,160,104.4,177,71.8,141,2024-11-06 00:00:00
174,171,North Alabama,ASun,-0.61,104.9,140,105.5,205,71.0,201,2024-11-06 00:00:00
175,172,Belmont,MVC,-0.70,103.8,161,104.5,179,73.6,37,2024-11-06 00:00:00
176,173,Milwaukee,Horz,-0.71,105.6,130,106.3,234,72.9,68,2024-11-06 00:00:00
177,174,UNC Greensboro,SC,-0.78,104.0,155,104.7,183,68.5,342,2024-11-06 00:00:00
178,175,Oakland,Horz,-0.87,103.8,162,104.6,182,70.8,219,2024-11-06 00:00:00
179,176,Nicholls,Slnd,-0.90,102.5,186,103.4,154,72.2,107,2024-11-06 00:00:00
180,177,UTEP,CUSA,-0.90,101.0,229,101.9,123,72.4,94,2024-11-06 00:00:00
181,178,Weber St.,BSky,-1.03,103.1,173,104.1,172,69.8,296,2024-11-06 00:00:00
182,179,Montana,BSky,-1.20,105.4,133,106.6,245,69.9,289,2024-11-06 00:00:00
183,180,Georgia Southern,SB,-1.36,101.8,206,103.2,151,72.5,89,2024-11-06 00:00:00
184,181,Hofstra,CAA,-1.53,102.2,194,103.7,161,70.4,250,2024-11-06 00:00:00
185,182,Jacksonville,ASun,-1.54,101.7,210,103.2,152,68.7,336,2024-11-06 00:00:00
186,183,Toledo,MAC,-1.71,107.0,110,108.8,302,72.7,74,2024-11-06 00:00:00
187,184,Iona,MAAC,-1.73,104.6,147,106.3,236,71.3,181,2024-11-06 00:00:00
188,185,Fordham,A10,-1.81,101.1,227,102.9,144,72.5,90,2024-11-06 00:00:00
189,186,Middle Tennessee,CUSA,-2.08,99.5,263,101.6,115,70.3,259,2024-11-06 00:00:00
190,187,DePaul,BE,-2.22,103.3,171,105.5,204,69.5,312,2024-11-06 00:00:00
191,188,Northeastern,CAA,-2.44,103.6,167,106.1,227,69.4,320,2024-11-06 00:00:00
192,189,Youngstown St.,Horz,-2.45,102.4,187,104.8,184,71.8,142,2024-11-06 00:00:00
193,190,Georgia St.,SB,-2.50,102.8,179,105.3,197,70.9,209,2024-11-06 00:00:00
194,191,Tulane,Amer,-2.66,103.0,176,105.7,215,74.5,14,2024-11-06 00:00:00
195,192,Longwood,BSth,-2.75,102.2,195,104.9,188,70.4,249,2024-11-06 00:00:00
196,193,Southern Utah,WAC,-2.85,102.2,193,105.1,191,72.5,88,2024-11-06 00:00:00
197,194,Montana St.,BSky,-2.88,102.0,200,104.9,186,72.2,110,2024-11-06 00:00:00
198,195,Missouri St.,MVC,-2.91,99.2,269,102.1,128,69.8,298,2024-11-06 00:00:00
199,196,Northern Colorado,BSky,-2.94,103.9,157,106.9,249,72.9,60,2024-11-06 00:00:00
200,197,Penn,Ivy,-3.03,103.1,174,106.1,228,69.4,318,2024-11-06 00:00:00
201,198,Hawaii,BW,-3.09,100.3,247,103.3,153,70.0,277,2024-11-06 00:00:00
202,199,Indiana St.,MVC,-3.22,102.8,178,106.1,225,74.6,12,2024-11-06 00:00:00
203,200,Kansas City,Sum,-3.33,102.3,191,105.6,212,70.6,237,2024-11-06 00:00:00
204,Rk,Team,Conf,AdjEM,AdjO,AdjD,AdjT,Rk,AdjEM,AdjO,2024-11-06 00:00:00
205,201,Harvard,Ivy,-3.37,101.9,204,105.2,195,70.5,246,2024-11-06 00:00:00
206,202,St. Thomas,Sum,-3.47,105.0,136,108.5,295,68.4,344,2024-11-06 00:00:00
207,203,North Florida,ASun,-3.59,103.9,158,107.5,264,71.3,180,2024-11-06 00:00:00
208,204,Southern Miss,SB,-3.69,100.1,252,103.8,162,71.9,135,2024-11-06 00:00:00
209,205,Cleveland St.,Horz,-3.86,101.5,215,105.4,203,71.5,164,2024-11-06 00:00:00
210,206,Mercer,SC,-4.03,101.9,203,105.9,221,74.1,26,2024-11-06 00:00:00
211,207,UNC Asheville,BSth,-4.18,104.1,152,108.3,287,71.6,155,2024-11-06 00:00:00
212,208,Bucknell,PL,-4.18,100.4,244,104.6,181,71.0,200,2024-11-06 00:00:00
213,209,Saint Peter's,MAAC,-4.27,95.6,332,99.8,93,67.8,354,2024-11-06 00:00:00
214,210,Evansville,MVC,-4.30,101.3,219,105.6,209,71.5,159,2024-11-06 00:00:00
215,211,Wyoming,MWC,-4.40,100.6,237,105.0,190,68.6,340,2024-11-06 00:00:00
216,212,Colgate,PL,-4.54,101.3,222,105.8,217,70.9,206,2024-11-06 00:00:00
217,213,Texas A&M Corpus Chris,Slnd,-4.58,101.6,214,106.2,229,72.5,91,2024-11-06 00:00:00
218,214,Jacksonville St.,CUSA,-4.58,100.5,240,105.1,192,69.3,322,2024-11-06 00:00:00
219,215,North Dakota St.,Sum,-4.59,103.0,177,107.6,267,70.0,280,2024-11-06 00:00:00
220,216,Florida Gulf Coast,ASun,-4.66,101.6,212,106.3,232,68.9,332,2024-11-06 00:00:00
221,217,Columbia,Ivy,-4.67,103.7,165,108.4,289,73.1,56,2024-11-06 00:00:00
222,218,San Jose St.,MWC,-4.68,99.6,260,104.2,174,68.2,349,2024-11-06 00:00:00
223,219,Drexel,CAA,-4.72,100.9,231,105.7,214,68.9,334,2024-11-06 00:00:00
224,220,Illinois Chicago,MVC,-4.74,101.0,230,105.7,216,69.8,295,2024-11-06 00:00:00
225,221,Kennesaw St.,CUSA,-4.78,102.6,184,107.4,256,75.7,3,2024-11-06 00:00:00
226,222,Monmouth,CAA,-4.79,100.8,233,105.6,211,72.3,102,2024-11-06 00:00:00
227,223,Portland St.,BSky,-4.81,101.2,223,106.1,224,74.3,18,2024-11-06 00:00:00
228,224,Wright St.,Horz,-4.83,103.7,166,108.5,296,72.7,75,2024-11-06 00:00:00
229,225,William & Mary,CAA,-4.98,101.5,217,106.5,242,72.9,63,2024-11-06 00:00:00
230,226,UTSA,Amer,-4.99,102.5,185,107.5,261,73.4,45,2024-11-06 00:00:00
231,227,Howard,MEAC,-5.05,101.9,205,106.9,250,71.6,151,2024-11-06 00:00:00
232,228,Quinnipiac,MAAC,-5.20,100.3,245,105.5,206,73.7,34,2024-11-06 00:00:00
233,229,Merrimack,MAAC,-5.22,96.8,317,102.0,124,70.4,254,2024-11-06 00:00:00
234,230,Rice,Amer,-5.23,101.1,226,106.4,239,72.1,119,2024-11-06 00:00:00
235,231,Pepperdine,WCC,-5.27,100.6,238,105.8,218,70.5,244,2024-11-06 00:00:00
236,232,Norfolk St.,MEAC,-5.28,101.3,221,106.5,244,70.2,261,2024-11-06 00:00:00
237,233,Tarleton St.,WAC,-5.51,101.0,228,106.5,243,70.9,212,2024-11-06 00:00:00
238,234,Lafayette,PL,-5.62,98.4,281,104.0,167,69.9,283,2024-11-06 00:00:00
239,235,Illinois St.,MVC,-5.78,98.6,278,104.4,176,69.9,290,2024-11-06 00:00:00
240,236,Little Rock,OVC,-5.90,101.8,207,107.7,269,72.3,104,2024-11-06 00:00:00
241,237,South Dakota,Sum,-5.98,103.9,159,109.9,327,73.0,59,2024-11-06 00:00:00
242,238,Ball St.,MAC,-6.00,100.7,234,106.7,248,70.4,253,2024-11-06 00:00:00
243,239,Navy,PL,-6.08,98.1,289,104.2,173,69.5,313,2024-11-06 00:00:00
244,240,Cal St. Fullerton,BW,-6.27,98.2,285,104.4,178,71.2,184,2024-11-06 00:00:00
245,Rk,Team,Conf,AdjEM,AdjO,AdjD,AdjT,Rk,AdjEM,AdjO,2024-11-06 00:00:00
246,241,Oral Roberts,Sum,-6.31,102.2,196,108.5,294,71.3,174,2024-11-06 00:00:00
247,242,Central Michigan,MAC,-6.50,98.9,274,105.4,200,69.7,308,2024-11-06 00:00:00
248,243,Charleston Southern,BSth,-6.57,102.1,198,108.7,300,71.1,194,2024-11-06 00:00:00
249,244,American,PL,-6.58,101.3,218,107.9,275,66.5,363,2024-11-06 00:00:00
250,245,Brown,Ivy,-6.85,101.3,220,108.1,282,70.2,266,2024-11-06 00:00:00
251,246,Boston University,PL,-6.95,100.9,232,107.9,274,69.2,326,2024-11-06 00:00:00
252,247,Northern Arizona,BSky,-6.97,101.8,208,108.8,303,71.1,193,2024-11-06 00:00:00
253,248,South Alabama,SB,-6.98,100.4,241,107.4,259,70.8,221,2024-11-06 00:00:00
254,249,Texas Southern,SWAC,-7.00,96.6,319,103.6,160,72.0,132,2024-11-06 00:00:00
255,250,Valparaiso,MVC,-7.03,101.2,224,108.2,286,71.3,177,2024-11-06 00:00:00
256,251,Albany,AE,-7.03,99.0,272,106.0,222,73.4,44,2024-11-06 00:00:00
257,252,Gardner Webb,BSth,-7.10,98.7,276,105.8,219,71.2,188,2024-11-06 00:00:00
258,253,CSUN,BW,-7.15,97.0,310,104.1,171,75.3,5,2024-11-06 00:00:00
259,254,Long Beach St.,BW,-7.35,100.4,243,107.7,270,72.7,80,2024-11-06 00:00:00
260,255,Grambling St.,SWAC,-7.35,99.0,270,106.4,241,69.9,285,2024-11-06 00:00:00
261,256,Marist,MAAC,-7.39,98.3,282,105.7,213,68.6,337,2024-11-06 00:00:00
262,257,Maine,AE,-7.43,97.8,299,105.3,196,70.5,240,2024-11-06 00:00:00
263,258,Western Carolina,SC,-7.50,100.3,246,107.8,273,71.6,158,2024-11-06 00:00:00
264,259,North Carolina Central,MEAC,-7.53,98.7,275,106.3,233,70.7,231,2024-11-06 00:00:00
265,260,Western Illinois,OVC,-7.64,98.0,292,105.6,210,68.0,352,2024-11-06 00:00:00
266,261,North Dakota,Sum,-7.70,100.2,249,107.9,276,71.5,160,2024-11-06 00:00:00
267,262,Mount St. Mary's,MAAC,-7.77,97.6,302,105.4,201,71.9,137,2024-11-06 00:00:00
268,263,Air Force,MWC,-7.78,101.6,213,109.4,314,65.9,364,2024-11-06 00:00:00
269,264,Old Dominion,SB,-8.00,99.5,267,107.5,260,72.2,109,2024-11-06 00:00:00
270,265,Army,PL,-8.00,99.5,264,107.5,262,67.5,356,2024-11-06 00:00:00
271,266,Bowling Green,MAC,-8.04,100.4,242,108.4,292,72.4,95,2024-11-06 00:00:00
272,267,Wagner,NEC,-8.04,96.9,312,104.9,187,66.7,361,2024-11-06 00:00:00
273,268,Portland,WCC,-8.07,102.3,189,110.4,335,72.0,125,2024-11-06 00:00:00
274,269,Rider,MAAC,-8.09,99.7,257,107.8,271,70.7,229,2024-11-06 00:00:00
275,270,Fresno St.,MWC,-8.14,97.9,294,106.1,226,75.1,7,2024-11-06 00:00:00
